name,url,codes,char,category,group,subgroup
"dolphin","https://github.githubassets.com/images/icons/emoji/unicode/1f42c.png?v8","1F42C","🐬","Animals & Nature (animal-marine)","Animals & Nature","animal-marine"
"flag: Dominica","https://github.githubassets.com/images/icons/emoji/unicode/1f1e9-1f1f2.png?v8","1F1E9 1F1F2","🇩🇲","Flags (country-flag)","Flags","country-flag"
"flag: Dominican Republic","https://github.githubassets.com/images/icons/emoji/unicode/1f1e9-1f1f4.png?v8","1F1E9 1F1F4","🇩🇴","Flags (country-flag)","Flags","country-flag"
"door","https://github.githubassets.com/images/icons/emoji/unicode/1f6aa.png?v8","1F6AA","🚪","Objects (household)","Objects","household"
"doughnut","https://github.githubassets.com/images/icons/emoji/unicode/1f369.png?v8","1F369","🍩","Food & Drink (food-sweet)","Food & Drink","food-sweet"
"dove","https://github.githubassets.com/images/icons/emoji/unicode/1f54a.png?v8","1F54A","🕊","Animals & Nature (animal-bird)","Animals & Nature","animal-bird"
"dragon","https://github.githubassets.com/images/icons/emoji/unicode/1f409.png?v8","1F409","🐉","Animals & Nature (animal-reptile)","Animals & Nature","animal-reptile"
"dragon face","https://github.githubassets.com/images/icons/emoji/unicode/1f432.png?v8","1F432","🐲","Animals & Nature (animal-reptile)","Animals & Nature","animal-reptile"
"dress","https://github.githubassets.com/images/icons/emoji/unicode/1f457.png?v8","1F457","👗","Objects (clothing)","Objects","clothing"
"camel","https://github.githubassets.com/images/icons/emoji/unicode/1f42a.png?v8","1F42A","🐪","Animals & Nature (animal-mammal)","Animals & Nature","animal-mammal"
"drooling face","https://github.githubassets.com/images/icons/emoji/unicode/1f924.png?v8","1F924","🤤","Smileys & Emotion (face-sleepy)","Smileys & Emotion","face-sleepy"
"drop of blood","https://github.githubassets.com/images/icons/emoji/unicode/1fa78.png?v8","1FA78","🩸","Objects (medical)","Objects","medical"
"droplet","https://github.githubassets.com/images/icons/emoji/unicode/1f4a7.png?v8","1F4A7","💧","Travel & Places (sky & weather)","Travel & Places","sky & weather"
"drum","https://github.githubassets.com/images/icons/emoji/unicode/1f941.png?v8","1F941","🥁","Objects (musical-instrument)","Objects","musical-instrument"
"duck","https://github.githubassets.com/images/icons/emoji/unicode/1f986.png?v8","1F986","🦆","Animals & Nature (animal-bird)","Animals & Nature","animal-bird"
"dumpling","https://github.githubassets.com/images/icons/emoji/unicode/1f95f.png?v8","1F95F","🥟","Food & Drink (food-asian)","Food & Drink","food-asian"
"dvd","https://github.githubassets.com/images/icons/emoji/unicode/1f4c0.png?v8","1F4C0","📀","Objects (computer)","Objects","computer"
"e-mail","https://github.githubassets.com/images/icons/emoji/unicode/1f4e7.png?v8","1F4E7","📧","Objects (mail)","Objects","mail"
"eagle","https://github.githubassets.com/images/icons/emoji/unicode/1f985.png?v8","1F985","🦅","Animals & Nature (animal-bird)","Animals & Nature","animal-bird"
"ear","https://github.githubassets.com/images/icons/emoji/unicode/1f442.png?v8","1F442","👂","People & Body (body-parts)","People & Body","body-parts"
"sheaf of rice","https://github.githubassets.com/images/icons/emoji/unicode/1f33e.png?v8","1F33E","🌾","Animals & Nature (plant-other)","Animals & Nature","plant-other"
"ear with hearing aid","https://github.githubassets.com/images/icons/emoji/unicode/1f9bb.png?v8","1F9BB","🦻","People & Body (body-parts)","People & Body","body-parts"
"globe showing Europe-Africa","https://github.githubassets.com/images/icons/emoji/unicode/1f30d.png?v8","1F30D","🌍","Travel & Places (place-map)","Travel & Places","place-map"
"globe showing Americas","https://github.githubassets.com/images/icons/emoji/unicode/1f30e.png?v8","1F30E","🌎","Travel & Places (place-map)","Travel & Places","place-map"
"globe showing Asia-Australia","https://github.githubassets.com/images/icons/emoji/unicode/1f30f.png?v8","1F30F","🌏","Travel & Places (place-map)","Travel & Places","place-map"
"flag: Cocos (Keeling) Islands","https://github.githubassets.com/images/icons/emoji/unicode/1f1ea-1f1e8.png?v8","1F1E8 1F1E8","🇨🇨","Flags (country-flag)","Flags","country-flag"
"egg","https://github.githubassets.com/images/icons/emoji/unicode/1f95a.png?v8","1F95A","🥚","Food & Drink (food-prepared)","Food & Drink","food-prepared"
"eggplant","https://github.githubassets.com/images/icons/emoji/unicode/1f346.png?v8","1F346","🍆","Food & Drink (food-vegetable)","Food & Drink","food-vegetable"
"flag: Estonia","https://github.githubassets.com/images/icons/emoji/unicode/1f1ea-1f1ec.png?v8","1F1EA 1F1EA","🇪🇪","Flags (country-flag)","Flags","country-flag"
"keycap: 8","https://github.githubassets.com/images/icons/emoji/unicode/0038-20e3.png?v8","0038 20E3","8⃣","Symbols (keycap)","Symbols","keycap"
"eight-pointed star","https://github.githubassets.com/images/icons/emoji/unicode/2734.png?v8","2734","✴","Symbols (other-symbol)","Symbols","other-symbol"
"eight-spoked asterisk","https://github.githubassets.com/images/icons/emoji/unicode/2733.png?v8","2733","✳","Symbols (other-symbol)","Symbols","other-symbol"
"eject button","https://github.githubassets.com/images/icons/emoji/unicode/23cf.png?v8","23CF","⏏","Symbols (av-symbol)","Symbols","av-symbol"
"flag: South Sudan","https://github.githubassets.com/images/icons/emoji/unicode/1f1f8-1f1fb.png?v8","1F1F8 1F1F8","🇸🇸","Flags (country-flag)","Flags","country-flag"
"electric plug","https://github.githubassets.com/images/icons/emoji/unicode/1f50c.png?v8","1F50C","🔌","Objects (computer)","Objects","computer"
"electron","https://github.githubassets.com/images/icons/emoji/electron.png?v8",undefined,undefined,undefined,undefined,undefined
"elephant","https://github.githubassets.com/images/icons/emoji/unicode/1f418.png?v8","1F418","🐘","Animals & Nature (animal-mammal)","Animals & Nature","animal-mammal"
"elf","https://github.githubassets.com/images/icons/emoji/unicode/1f9dd.png?v8","1F9DD","🧝","People & Body (person-fantasy)","People & Body","person-fantasy"
